10 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "100.0"
Metric.RejectedNetworksNumber : "0.0"
Metric.AvAllPathLength : "1.7708333333333333"
Metric.AvPathLength : "1.7708333333333333"
Metric.AvActiveLinkStress : "1.875"
Metric.AvActiveNodeStress : "1.5875"
Metric.AvLinkStress : "0.6710526315789473"
Metric.AvNodeStress : "1.27"
Metric.MaxLinkStress : "6.0"
Metric.MaxNodeStress : "6.0"
Metric.MaxPathLength : "4.0"
Metric.Cost : "20458.951130000012"
Metric.CostRevenue : "1.5967143752833046"
Metric.RevenueCost : "0.6262860881568566"
Metric.MappedRevenue : "12813.15647100001"
Metric.RunningNodes : "80.0"
Metric.LinkCostPerVnr : "1737.8714601000015"
Metric.LinkUtilization : "22.717273988235313"
Metric.NodeUtilization : "24.253830937007866"
Metric.RemainingLinkResource : "68808.4970000001"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "14720.0"
Metric.runningTimePerMappedVN : "1472.0"
Metric.NumberOfEmbeddedVNets : "10.0"
Metric.AvgMessagesSent : "0.38"
Metric.AvgMessagesReceived : "0.38"
Metric.NumberOfMessages : "38.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "6.845691305642593"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "19.8"
Metric.SuccessfullyEmbeddingPartitionsSize : "19.8"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.7"
Metric.AttemptEmbeddingPartitionsNodesRatio : "43.6"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "6.266894067943034"
Metric.RuntimeWithoutPartitioning : "14002.0"


20 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "100.0"
Metric.RejectedNetworksNumber : "0.0"
Metric.AvAllPathLength : "1.8926553672316384"
Metric.AvPathLength : "1.8926553672316384"
Metric.AvActiveLinkStress : "2.1405750798722045"
Metric.AvActiveNodeStress : "2.3125"
Metric.AvLinkStress : "1.1754385964912282"
Metric.AvNodeStress : "2.22"
Metric.MaxLinkStress : "6.0"
Metric.MaxNodeStress : "6.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "36200.44618600005"
Metric.CostRevenue : "1.6653705968260248"
Metric.RevenueCost : "0.6004669482611661"
Metric.MappedRevenue : "21737.171447000022"
Metric.RunningNodes : "96.0"
Metric.LinkCostPerVnr : "1531.8338348500024"
Metric.LinkUtilization : "22.863191564925412"
Metric.NodeUtilization : "25.06202472522522"
Metric.RemainingLinkResource : "55550.54700000011"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "31878.0"
Metric.runningTimePerMappedVN : "1593.9"
Metric.NumberOfEmbeddedVNets : "20.0"
Metric.AvgMessagesSent : "1.42"
Metric.AvgMessagesReceived : "1.42"
Metric.NumberOfMessages : "142.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "8.354773437085324"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "21.75"
Metric.SuccessfullyEmbeddingPartitionsSize : "21.75"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.75"
Metric.AttemptEmbeddingPartitionsNodesRatio : "72.3"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "6.449953399168439"
Metric.RuntimeWithoutPartitioning : "31382.0"


30 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "83.33333333333334"
Metric.RejectedNetworksNumber : "5.0"
Metric.AvAllPathLength : "1.544776119402985"
Metric.AvPathLength : "2.003225806451613"
Metric.AvActiveLinkStress : "2.225806451612903"
Metric.AvActiveNodeStress : "2.86"
Metric.AvLinkStress : "1.6342105263157896"
Metric.AvNodeStress : "2.86"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "50550.49139600003"
Metric.CostRevenue : "1.7727191685225288"
Metric.RevenueCost : "0.5641051429671453"
Metric.MappedRevenue : "28515.792176000043"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1738.7533960800013"
Metric.LinkUtilization : "23.332707945249613"
Metric.NodeUtilization : "24.761036692307687"
Metric.RemainingLinkResource : "42718.39600000009"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "97235.0"
Metric.runningTimePerMappedVN : "3889.4"
Metric.NumberOfEmbeddedVNets : "25.0"
Metric.AvgMessagesSent : "2.4"
Metric.AvgMessagesReceived : "2.4"
Metric.NumberOfMessages : "240.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "15.272503484244227"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "26.966666666666665"
Metric.SuccessfullyEmbeddingPartitionsSize : "32.36"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.32"
Metric.AttemptEmbeddingPartitionsNodesRatio : "122.26666666666667"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "8.839212212975244"
Metric.RuntimeWithoutPartitioning : "96928.0"


40 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "67.5"
Metric.RejectedNetworksNumber : "13.0"
Metric.AvAllPathLength : "1.2288686605981796"
Metric.AvPathLength : "2.0106382978723403"
Metric.AvActiveLinkStress : "2.234042553191489"
Metric.AvActiveNodeStress : "2.93"
Metric.AvLinkStress : "1.6578947368421053"
Metric.AvNodeStress : "2.93"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "51621.74477700004"
Metric.CostRevenue : "1.7815709564310376"
Metric.RevenueCost : "0.5613023699057528"
Metric.MappedRevenue : "28975.40768200004"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1645.0485220370388"
Metric.LinkUtilization : "23.500693171957696"
Metric.NodeUtilization : "24.59192724232081"
Metric.RemainingLinkResource : "41770.91900000008"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "143811.0"
Metric.runningTimePerMappedVN : "5326.333333333333"
Metric.NumberOfEmbeddedVNets : "27.0"
Metric.AvgMessagesSent : "3.34"
Metric.AvgMessagesReceived : "3.34"
Metric.NumberOfMessages : "334.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "17.4394827987075"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "22.125"
Metric.SuccessfullyEmbeddingPartitionsSize : "32.77777777777778"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.259259259259259"
Metric.AttemptEmbeddingPartitionsNodesRatio : "138.625"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "12.995881266564432"
